cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
1010000,10,20,30,40,ot1,no,any,any,any,0,1010000,80,1,0,0,0,0,,0,0
1010001,10,20,30,40,ot1,no,any,any,with,0,1010001,81,1,0,0,0,1,,0,0
1010010,10,20,30,40,ot1,no,any,female,any,0,1010010,82,1,0,0,1,0,,0,1
1010020,10,20,30,40,ot1,no,any,male,any,0,1010020,82,1,0,0,2,0,,0,1
1010011,10,20,30,40,ot1,no,any,female,with,0,1010011,83,1,0,0,1,1,,0,1
1010021,10,20,30,40,ot1,no,any,male,with,0,1010021,83,1,0,0,2,1,,0,1
1010100,10,20,30,40,ot1,no,younger,any,any,0,1010100,84,1,0,1,0,0,,1,0
1010101,10,20,30,40,ot1,no,younger,any,with,0,1010101,85,1,0,1,0,1,,1,0
1010110,10,20,30,40,ot1,no,younger,female,any,0,1010110,86,1,0,1,1,0,,1,1
1010120,10,20,30,40,ot1,no,younger,male,any,0,1010120,86,1,0,1,2,0,,1,1
1010111,10,20,30,40,ot1,no,younger,female,with,0,1010111,87,1,0,1,1,1,,1,1
1010121,10,20,30,40,ot1,no,younger,male,with,0,1010121,87,1,0,1,2,1,,1,1
1010300,10,20,30,40,ot1,no,older,any,any,0,1010300,84,1,0,3,0,0,,1,0
1010301,10,20,30,40,ot1,no,older,any,with,0,1010301,85,1,0,3,0,1,,1,0
1010310,10,20,30,40,ot1,no,older,female,any,0,1010310,86,1,0,3,1,0,,1,1
1010320,10,20,30,40,ot1,no,older,male,any,0,1010320,86,1,0,3,2,0,,1,1
1010311,10,20,30,40,ot1,no,older,female,with,0,1010311,87,1,0,3,1,1,,1,1
1010321,10,20,30,40,ot1,no,older,male,with,0,1010321,87,1,0,3,2,1,,1,1
1020000,10,20,30,40,ot2,no,any,any,any,0,1020000,80,2,0,0,0,0,,0,0
1020001,10,20,30,40,ot2,no,any,any,with,0,1020001,81,2,0,0,0,1,,0,0
1020010,10,20,30,40,ot2,no,any,female,any,0,1020010,82,2,0,0,1,0,,0,1
1020020,10,20,30,40,ot2,no,any,male,any,0,1020020,82,2,0,0,2,0,,0,1
1020011,10,20,30,40,ot2,no,any,female,with,0,1020011,83,2,0,0,1,1,,0,1
1020021,10,20,30,40,ot2,no,any,male,with,0,1020021,83,2,0,0,2,1,,0,1
1020100,10,20,30,40,ot2,no,younger,any,any,0,1020100,84,2,0,1,0,0,,1,0
1020101,10,20,30,40,ot2,no,younger,any,with,0,1020101,85,2,0,1,0,1,,1,0
1020110,10,20,30,40,ot2,no,younger,female,any,0,1020110,86,2,0,1,1,0,,1,1
1020120,10,20,30,40,ot2,no,younger,male,any,0,1020120,86,2,0,1,2,0,,1,1
1020111,10,20,30,40,ot2,no,younger,female,with,0,1020111,87,2,0,1,1,1,,1,1
1020121,10,20,30,40,ot2,no,younger,male,with,0,1020121,87,2,0,1,2,1,,1,1
1020300,10,20,30,40,ot2,no,older,any,any,0,1020300,84,2,0,3,0,0,,1,0
1020301,10,20,30,40,ot2,no,older,any,with,0,1020301,85,2,0,3,0,1,,1,0
1020310,10,20,30,40,ot2,no,older,female,any,0,1020310,86,2,0,3,1,0,,1,1
1020320,10,20,30,40,ot2,no,older,male,any,0,1020320,86,2,0,3,2,0,,1,1
1020311,10,20,30,40,ot2,no,older,female,with,0,1020311,87,2,0,3,1,1,,1,1
1020321,10,20,30,40,ot2,no,older,male,with,0,1020321,87,2,0,3,2,1,,1,1
1011000,10,20,30,40,ot1,with,any,any,any,0,1011000,88,1,1,0,0,0,,0,0
1011001,10,20,30,40,ot1,with,any,any,with,0,1011001,89,1,1,0,0,1,,0,0
1011010,10,20,30,40,ot1,with,any,female,any,0,1011010,90,1,1,0,1,0,,0,1
1011020,10,20,30,40,ot1,with,any,male,any,0,1011020,90,1,1,0,2,0,,0,1
1011011,10,20,30,40,ot1,with,any,female,with,0,1011011,91,1,1,0,1,1,,0,1
1011021,10,20,30,40,ot1,with,any,male,with,0,1011021,91,1,1,0,2,1,,0,1
1011100,10,20,30,40,ot1,with,younger,any,any,0,1011100,92,1,1,1,0,0,,1,0
1011101,10,20,30,40,ot1,with,younger,any,with,0,1011101,93,1,1,1,0,1,,1,0
1011110,10,20,30,40,ot1,with,younger,female,any,0,1011110,94,1,1,1,1,0,,1,1
1011120,10,20,30,40,ot1,with,younger,male,any,0,1011120,94,1,1,1,2,0,,1,1
1011111,10,20,30,40,ot1,with,younger,female,with,0,1011111,95,1,1,1,1,1,,1,1
1011121,10,20,30,40,ot1,with,younger,male,with,0,1011121,95,1,1,1,2,1,,1,1
1011300,10,20,30,40,ot1,with,older,any,any,0,1011300,92,1,1,3,0,0,,1,0
1011301,10,20,30,40,ot1,with,older,any,with,0,1011301,93,1,1,3,0,1,,1,0
1011310,10,20,30,40,ot1,with,older,female,any,0,1011310,94,1,1,3,1,0,,1,1
1011320,10,20,30,40,ot1,with,older,male,any,0,1011320,94,1,1,3,2,0,,1,1
1011311,10,20,30,40,ot1,with,older,female,with,0,1011311,95,1,1,3,1,1,,1,1
1011321,10,20,30,40,ot1,with,older,male,with,0,1011321,95,1,1,3,2,1,,1,1
1021000,10,20,30,40,ot2,with,any,any,any,0,1021000,88,2,1,0,0,0,,0,0
1021001,10,20,30,40,ot2,with,any,any,with,0,1021001,89,2,1,0,0,1,,0,0
1021010,10,20,30,40,ot2,with,any,female,any,0,1021010,90,2,1,0,1,0,,0,1
1021020,10,20,30,40,ot2,with,any,male,any,0,1021020,90,2,1,0,2,0,,0,1
1021011,10,20,30,40,ot2,with,any,female,with,0,1021011,91,2,1,0,1,1,,0,1
1021021,10,20,30,40,ot2,with,any,male,with,0,1021021,91,2,1,0,2,1,,0,1
1021100,10,20,30,40,ot2,with,younger,any,any,0,1021100,92,2,1,1,0,0,,1,0
1021101,10,20,30,40,ot2,with,younger,any,with,0,1021101,93,2,1,1,0,1,,1,0
1021110,10,20,30,40,ot2,with,younger,female,any,0,1021110,94,2,1,1,1,0,,1,1
1021120,10,20,30,40,ot2,with,younger,male,any,0,1021120,94,2,1,1,2,0,,1,1
1021111,10,20,30,40,ot2,with,younger,female,with,0,1021111,95,2,1,1,1,1,,1,1
1021121,10,20,30,40,ot2,with,younger,male,with,0,1021121,95,2,1,1,2,1,,1,1
1021300,10,20,30,40,ot2,with,older,any,any,0,1021300,92,2,1,3,0,0,,1,0
1021301,10,20,30,40,ot2,with,older,any,with,0,1021301,93,2,1,3,0,1,,1,0
1021310,10,20,30,40,ot2,with,older,female,any,0,1021310,94,2,1,3,1,0,,1,1
1021320,10,20,30,40,ot2,with,older,male,any,0,1021320,94,2,1,3,2,0,,1,1
1021311,10,20,30,40,ot2,with,older,female,with,0,1021311,95,2,1,3,1,1,,1,1
1021321,10,20,30,40,ot2,with,older,male,with,0,1021321,95,2,1,3,2,1,,1,1
2010000,20,10,30,40,ot1,no,any,any,any,0,2010000,80,1,0,0,0,0,,0,0
2010001,20,10,30,40,ot1,no,any,any,with,0,2010001,81,1,0,0,0,1,,0,0
2010010,20,10,30,40,ot1,no,any,female,any,0,2010010,82,1,0,0,1,0,,0,1
2010020,20,10,30,40,ot1,no,any,male,any,0,2010020,82,1,0,0,2,0,,0,1
2010011,20,10,30,40,ot1,no,any,female,with,0,2010011,83,1,0,0,1,1,,0,1
2010021,20,10,30,40,ot1,no,any,male,with,0,2010021,83,1,0,0,2,1,,0,1
2010100,20,10,30,40,ot1,no,younger,any,any,0,2010100,84,1,0,1,0,0,,1,0
2010101,20,10,30,40,ot1,no,younger,any,with,0,2010101,85,1,0,1,0,1,,1,0
2010110,20,10,30,40,ot1,no,younger,female,any,0,2010110,86,1,0,1,1,0,,1,1
2010120,20,10,30,40,ot1,no,younger,male,any,0,2010120,86,1,0,1,2,0,,1,1
2010111,20,10,30,40,ot1,no,younger,female,with,0,2010111,87,1,0,1,1,1,,1,1
2010121,20,10,30,40,ot1,no,younger,male,with,0,2010121,87,1,0,1,2,1,,1,1
2010300,20,10,30,40,ot1,no,older,any,any,0,2010300,84,1,0,3,0,0,,1,0
2010301,20,10,30,40,ot1,no,older,any,with,0,2010301,85,1,0,3,0,1,,1,0
2010310,20,10,30,40,ot1,no,older,female,any,0,2010310,86,1,0,3,1,0,,1,1
2010320,20,10,30,40,ot1,no,older,male,any,0,2010320,86,1,0,3,2,0,,1,1
2010311,20,10,30,40,ot1,no,older,female,with,0,2010311,87,1,0,3,1,1,,1,1
2010321,20,10,30,40,ot1,no,older,male,with,0,2010321,87,1,0,3,2,1,,1,1
2020000,20,10,30,40,ot2,no,any,any,any,0,2020000,#NUM!,2,0,0,0,0,,0,0
2020001,20,10,30,40,ot2,no,any,any,with,0,2020001,#NUM!,2,0,0,0,1,,0,0
2020010,20,10,30,40,ot2,no,any,female,any,0,2020010,#NUM!,2,0,0,1,0,,0,1
2020020,20,10,30,40,ot2,no,any,male,any,0,2020020,#NUM!,2,0,0,2,0,,0,1
2020011,20,10,30,40,ot2,no,any,female,with,0,2020011,#NUM!,2,0,0,1,1,,0,1
2020021,20,10,30,40,ot2,no,any,male,with,0,2020021,#NUM!,2,0,0,2,1,,0,1
2020100,20,10,30,40,ot2,no,younger,any,any,0,2020100,#NUM!,2,0,1,0,0,,1,0
2020101,20,10,30,40,ot2,no,younger,any,with,0,2020101,#NUM!,2,0,1,0,1,,1,0
2020110,20,10,30,40,ot2,no,younger,female,any,0,2020110,#NUM!,2,0,1,1,0,,1,1
2020120,20,10,30,40,ot2,no,younger,male,any,0,2020120,#NUM!,2,0,1,2,0,,1,1
2020111,20,10,30,40,ot2,no,younger,female,with,0,2020111,#NUM!,2,0,1,1,1,,1,1
2020121,20,10,30,40,ot2,no,younger,male,with,0,2020121,#NUM!,2,0,1,2,1,,1,1
2020300,20,10,30,40,ot2,no,older,any,any,0,2020300,#NUM!,2,0,3,0,0,,1,0
2020301,20,10,30,40,ot2,no,older,any,with,0,2020301,#NUM!,2,0,3,0,1,,1,0
2020310,20,10,30,40,ot2,no,older,female,any,0,2020310,#NUM!,2,0,3,1,0,,1,1
2020320,20,10,30,40,ot2,no,older,male,any,0,2020320,#NUM!,2,0,3,2,0,,1,1
2020311,20,10,30,40,ot2,no,older,female,with,0,2020311,#NUM!,2,0,3,1,1,,1,1
2020321,20,10,30,40,ot2,no,older,male,with,0,2020321,#NUM!,2,0,3,2,1,,1,1
2011000,20,10,30,40,ot1,with,any,any,any,0,2011000,88,1,1,0,0,0,,0,0
2011001,20,10,30,40,ot1,with,any,any,with,0,2011001,89,1,1,0,0,1,,0,0
2011010,20,10,30,40,ot1,with,any,female,any,0,2011010,90,1,1,0,1,0,,0,1
2011020,20,10,30,40,ot1,with,any,male,any,0,2011020,90,1,1,0,2,0,,0,1
2011011,20,10,30,40,ot1,with,any,female,with,0,2011011,91,1,1,0,1,1,,0,1
2011021,20,10,30,40,ot1,with,any,male,with,0,2011021,91,1,1,0,2,1,,0,1
2011100,20,10,30,40,ot1,with,younger,any,any,0,2011100,92,1,1,1,0,0,,1,0
2011101,20,10,30,40,ot1,with,younger,any,with,0,2011101,93,1,1,1,0,1,,1,0
2011110,20,10,30,40,ot1,with,younger,female,any,0,2011110,94,1,1,1,1,0,,1,1
2011120,20,10,30,40,ot1,with,younger,male,any,0,2011120,94,1,1,1,2,0,,1,1
2011111,20,10,30,40,ot1,with,younger,female,with,0,2011111,95,1,1,1,1,1,,1,1
2011121,20,10,30,40,ot1,with,younger,male,with,0,2011121,95,1,1,1,2,1,,1,1
2011300,20,10,30,40,ot1,with,older,any,any,0,2011300,92,1,1,3,0,0,,1,0
2011301,20,10,30,40,ot1,with,older,any,with,0,2011301,93,1,1,3,0,1,,1,0
2011310,20,10,30,40,ot1,with,older,female,any,0,2011310,94,1,1,3,1,0,,1,1
2011320,20,10,30,40,ot1,with,older,male,any,0,2011320,94,1,1,3,2,0,,1,1
2011311,20,10,30,40,ot1,with,older,female,with,0,2011311,95,1,1,3,1,1,,1,1
2011321,20,10,30,40,ot1,with,older,male,with,0,2011321,95,1,1,3,2,1,,1,1
2021000,20,10,30,40,ot2,with,any,any,any,0,2021000,#NUM!,2,1,0,0,0,,0,0
2021001,20,10,30,40,ot2,with,any,any,with,0,2021001,#NUM!,2,1,0,0,1,,0,0
2021010,20,10,30,40,ot2,with,any,female,any,0,2021010,#NUM!,2,1,0,1,0,,0,1
2021020,20,10,30,40,ot2,with,any,male,any,0,2021020,#NUM!,2,1,0,2,0,,0,1
2021011,20,10,30,40,ot2,with,any,female,with,0,2021011,#NUM!,2,1,0,1,1,,0,1
2021021,20,10,30,40,ot2,with,any,male,with,0,2021021,#NUM!,2,1,0,2,1,,0,1
2021100,20,10,30,40,ot2,with,younger,any,any,0,2021100,#NUM!,2,1,1,0,0,,1,0
2021101,20,10,30,40,ot2,with,younger,any,with,0,2021101,#NUM!,2,1,1,0,1,,1,0
2021110,20,10,30,40,ot2,with,younger,female,any,0,2021110,#NUM!,2,1,1,1,0,,1,1
2021120,20,10,30,40,ot2,with,younger,male,any,0,2021120,#NUM!,2,1,1,2,0,,1,1
2021111,20,10,30,40,ot2,with,younger,female,with,0,2021111,#NUM!,2,1,1,1,1,,1,1
2021121,20,10,30,40,ot2,with,younger,male,with,0,2021121,#NUM!,2,1,1,2,1,,1,1
2021300,20,10,30,40,ot2,with,older,any,any,0,2021300,#NUM!,2,1,3,0,0,,1,0
2021301,20,10,30,40,ot2,with,older,any,with,0,2021301,#NUM!,2,1,3,0,1,,1,0
2021310,20,10,30,40,ot2,with,older,female,any,0,2021310,#NUM!,2,1,3,1,0,,1,1
2021320,20,10,30,40,ot2,with,older,male,any,0,2021320,#NUM!,2,1,3,2,0,,1,1
2021311,20,10,30,40,ot2,with,older,female,with,0,2021311,#NUM!,2,1,3,1,1,,1,1
